Food Code,ADD_SUGARS,,
26151133,0.11,,
26151134,0.11,,
26151140,0.19,,
26151141,0.19,,
26151142,0.19,,
26151143,0.22,,
26151144,0.22,,
26151160,0,,
26151190,0,,
26153100,0,,
26153110,0,,
26153120,0,,
26153122,0,,
26153130,0.1,,
26153131,0.11,,
26153140,0.19,,
26153160,0,,
26153170,0,,
26153190,0,,
26155110,0,,
26155180,0,,
26155190,0,,
26157110,0.19,,
26157120,0,,
26157121,0,,
26157122,0,,
26157123,0,,
26157124,0,,
26157130,0.1,,
26157131,0.1,,
26157132,0.1,,
26157133,0.11,,
26157134,0.11,,
26157140,0.19,,
26157141,0.19,,
26157142,0.19,,
26157143,0.22,,
26157144,0.22,,
26157160,0,,
26158000,0,,
26158010,0,,
26158011,0,,
26158012,0,,
26158013,0,,
26158014,0,,
26158020,0.1,,
26158021,0.1,,
26158022,0.1,,
26158023,0.11,,
26158024,0.11,,
26158030,0.19,,
26158031,0.19,,
26158032,0.19,,
26158033,0.22,,
26158034,0.22,,
26158050,0,,
26203110,0.2,,
26203160,0,,
26205110,0.2,,
26205160,0,,
26205170,0,,
26205180,0,,
26205190,0,,
26207110,0,,
26209100,0,,
26211100,0,,
26213100,0,,
26213120,0,,
26213121,0,,
26213130,0.1,,
26213131,0.11,,
26213140,0.2,,
26213160,0,,
26213170,0,,
26213180,0,,
26213190,0,,
26215120,0,,
26301110,0,,
26301140,0.2,,
26301160,0,,
26303100,0,,
26303110,0,,
26303120,0,,
26303121,0,,
26303130,0.1,,
26303131,0.11,,
26303140,0.2,,
26303160,0,,
26303180,0,,
26303190,0,,
26305110,0,,
26305120,0,,
26305121,0,,
